what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716954629653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954639423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954648509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716954648509
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716954651835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954767595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954769335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954789630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954794148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716954804375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716954822612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716954825670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716954863404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716954866368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954869582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954873559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954910724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954919396
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716954923430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716954924483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954936075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716954989669
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716955054527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716955056833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955067765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955071491
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1716955296040
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1716955299119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955348090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955354099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1716955383561
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716955391702
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716955391702
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716955393562
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716955393765
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716955393843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955480508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955488670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955506260
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955527014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716955595908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716955622478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955626775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955659671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716955668073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955741597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955745995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955762738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955767200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955789464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955812262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955825373
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955831395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955878706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955896701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716955908043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716955911354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716955914885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955926425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955952190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955991173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716955996915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716956006912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716956017653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716956021685
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716956030198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716956059275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716956059696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716956060150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716956060571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956209193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956219615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956223918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956241528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956245696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956248763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956250450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956252141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956253485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956256659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956259440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956262800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956265738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956269767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956275049
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956281239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956285208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956288569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956294147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956299864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956327712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956397669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956411925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956416772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956420205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956452975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956458581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956484020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956508193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956511347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716956882233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716957094159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716957143021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716957223589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716957355845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716957805040
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716958103651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958107792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958140557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958148087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958153636
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958153760
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958153877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716958327508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716958365682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716958371885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716958372885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716958374198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716958533862
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716958537050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1716958654916
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958658634
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958658634
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716958660338
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958660588
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958660666
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716958716959
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1716958774430
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716958840458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958942603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958961573
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1716958961589
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1716958964071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958999557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958999697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716958999838
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1716958999916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959002682
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716959011104
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1716959011682
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959013557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959015683
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716959040160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716959042113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1716959048551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959065098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959066989
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1716959076318
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716959076380
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716959092459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959101679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716959112961
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716959117805
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1716959118336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1716959132228
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716959133931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716959134368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716959134806
